"Instance type","db.r5.4xlarge($)","db.r6g.xlarge($)","db.r6g.4xlarge($)","db.r6g.large($)","db.r5.xlarge($)","No instance type($)","db.r5.large($)","db.t3.medium($)","db.t4g.medium($)","db.t2.medium($)","Total costs($)"
"Instance type total","11243.52","9515.062436811","8985.588372709","8759.031866442","6568.91502144","5182.7363409352","2524.33751104","1998.329079824","1538.27242803","408.456","56724.2490572312"
"2023-10-01","1904.64","1033.985661927","627.638540903","1198.30297873","1904.64","925.3640373243","476.16","392.832","253.510053264","69.192","8786.2652721483"
"2023-11-01","1843.2","1650.24","1649.52","1425.61093246","1390.58862208","890.0677536008","460.8","380.16","168.48","66.96","9925.6273081408"
"2023-12-01","1904.64","1705.248","1704.504","1514.827440984","1051.1523552","903.66528999","476.16","392.832","174.096","69.192","9896.317086174"
"2024-01-01","1904.64","1705.248","1704.504","1576.624652746","952.32","894.0936943825","476.16","392.832","174.096","69.192","9849.7103471285"
"2024-02-01","1781.76","1681.992317118","1594.536","1357.55405357","794.05404416","821.1592167786","396.97751104","327.47251768","202.921528212","64.728","9023.1551885586"
"2024-03-01","1904.64","1738.348457766","1704.885831806","1686.111807952","476.16","748.386348859","238.08","112.200562144","565.168846554","69.192","9243.173855081"
